                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    843,                 0.4697,                0.23782,                0.78063,                0.98338,                0.96029,                0.98241,                0.77575,                0.87093,                0.37856,                0.85691,              0.0047901,              0.0047901,              0.0047901
                    844,                0.44689,                0.23008,                0.77556,                0.98116,                0.96579,                 0.9831,                0.77513,                0.87049,                0.37757,                0.85658,              0.0047839,              0.0047839,              0.0047839
                    845,                0.47466,                0.24054,                0.77476,                0.98194,                0.96625,                0.98298,                0.77478,                0.87046,                0.37681,                0.85667,              0.0047778,              0.0047778,              0.0047778
                    846,                0.45485,                0.23932,                0.78388,                 0.9827,                 0.9659,                0.98298,                0.77518,                0.87017,                 0.3769,                0.85596,              0.0047716,              0.0047716,              0.0047716
                    847,                0.45288,                0.22944,                0.77833,                0.98193,                 0.9658,                0.98296,                0.77537,                0.87014,                0.37804,                0.85589,              0.0047654,              0.0047654,              0.0047654
                    848,                0.44464,                0.23521,                0.77984,                0.97962,                 0.9658,                0.98286,                0.77523,                0.87033,                0.37709,                0.85599,              0.0047592,              0.0047592,              0.0047592
                    849,                0.44837,                0.23086,                0.77984,                0.97964,                0.96445,                0.98353,                0.77583,                0.87175,                0.37858,                0.85618,               0.004753,               0.004753,               0.004753
                    850,                0.44936,                0.22916,                0.77555,                0.98473,                0.96136,                0.98353,                0.77583,                0.87121,                0.37858,                0.85636,              0.0047468,              0.0047468,              0.0047468
                    851,                0.46142,                0.23387,                0.77866,                0.98417,                0.96083,                 0.9832,                0.77618,                0.87063,                0.38018,                0.85663,              0.0047406,              0.0047406,              0.0047406
                    852,                0.45033,                0.23512,                0.78339,                0.98417,                0.96111,                0.98301,                0.77705,                0.87085,                0.38044,                0.85643,              0.0047344,              0.0047344,              0.0047344
                    853,                0.43013,                0.22695,                0.77207,                0.98333,                0.96059,                 0.9826,                0.77791,                  0.871,                0.38129,                0.85627,              0.0047283,              0.0047283,              0.0047283
