                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.5701,                0.68528,                 0.9107,                 0.9628,                0.91422,                0.94256,                0.47416,                 1.6143,                0.71223,                 0.9249,               0.009604,               0.009604,               0.009604
                     66,                 1.5321,                0.67956,                0.90819,                0.95088,                0.91265,                0.93921,                0.45591,                 1.6581,                0.73709,                0.93329,              0.0095978,              0.0095978,              0.0095978
                     67,                  1.512,                 0.6661,                0.89684,                0.96566,                0.89104,                0.94241,                 0.4827,                 1.6207,                 0.7223,                0.92382,              0.0095916,              0.0095916,              0.0095916
                     68,                  1.513,                0.65189,                0.88299,                0.96396,                0.89799,                0.95042,                0.48606,                 1.6105,                 0.7173,                0.92917,              0.0095854,              0.0095854,              0.0095854
                     69,                 1.5138,                0.64728,                0.89342,                 0.9711,                0.90108,                0.94223,                0.47316,                 1.6321,                0.71378,                0.92955,              0.0095793,              0.0095793,              0.0095793
                     70,                 1.5335,                0.66059,                0.89288,                0.96073,                 0.9263,                0.95492,                0.48502,                 1.6207,                0.69708,                0.92588,              0.0095731,              0.0095731,              0.0095731
                     71,                 1.5114,                0.64603,                0.88794,                0.95826,                0.92263,                0.94684,                0.48745,                 1.6213,                0.68362,                0.92744,              0.0095669,              0.0095669,              0.0095669
                     72,                 1.4918,                0.63386,                0.89397,                0.96988,                0.89598,                0.95249,                 0.5045,                 1.5838,                0.71563,                0.91916,              0.0095607,              0.0095607,              0.0095607
                     73,                 1.4702,                0.63089,                0.88938,                0.95826,                 0.9119,                0.95466,                0.48606,                 1.6708,                0.71405,                0.92726,              0.0095545,              0.0095545,              0.0095545
                     74,                 1.4909,                0.64431,                0.88624,                0.95292,                0.92293,                0.94958,                0.49218,                 1.6025,                0.70252,                0.92637,              0.0095483,              0.0095483,              0.0095483
                     75,                 1.4794,                0.63072,                0.88945,                0.95995,                0.90757,                0.95293,                0.49851,                 1.6143,                0.69843,                0.92871,              0.0095421,              0.0095421,              0.0095421
